Date Saved,25.11.2022 15:52:08
Title,I7-F8-T3500_45_5335K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],5335
⊿uv,-0.0094
Illuminance [lx],2230
Illuminance [fc],207
Target CCT [K],10000
LB Index [MK⁻¹],-87
LB Camera Filter,80C
LB Lighting Filter,L202 1/2 CTB
CC Index,1.0G
CC Camera Filter,CC025G
CC Lighting Filter,-----
CRI Ra,91.3
CRI R1,89.6
CRI R2,95.0
CRI R3,92.5
CRI R4,87.7
CRI R5,91.0
CRI R6,93.3
CRI R7,94.4
CRI R8,86.5
CRI R9,65.3
CRI R10,92.5
CRI R11,84.9
CRI R12,89.7
CRI R13,90.7
CRI R14,95.0
CRI R15,85.0

