Date Saved,25.11.2022 15:51:17
Title,I7-F8-T3500_42_4428K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],4428
⊿uv,-0.0099
Illuminance [lx],1330
Illuminance [fc],124
Target CCT [K],10000
LB Index [MK⁻¹],-126
LB Camera Filter,80C, 82C
LB Lighting Filter,L281 3/4 CTB
CC Index,0.9G
CC Camera Filter,-----
CC Lighting Filter,-----
CRI Ra,92.5
CRI R1,90.5
CRI R2,95.3
CRI R3,93.7
CRI R4,90.1
CRI R5,92.0
CRI R6,93.9
CRI R7,96.1
CRI R8,88.3
CRI R9,70.7
CRI R10,93.1
CRI R11,87.6
CRI R12,88.1
CRI R13,91.3
CRI R14,95.5
CRI R15,86.5

