r,g,b
117,44,48
162,93,15
5,62,142
143,154,158
162,127,129
7,85,152
21,111,47
138,148,155
0,123,157
157,5,52
143,3,37
128,136,146
59,77,44
73,22,99
153,133,13
102,98,118
103,118,155
140,136,41
151,17,116
45,40,52
79,149,151
157,120,23
0,132,155
9,9,12
