r,g,b
135,60,59
167,94,7
14,60,133
153,151,152
167,128,125
18,84,146
46,110,40
149,145,150
15,121,151
165,10,52
154,3,36
140,134,140
73,78,41
83,23,92
160,135,18
117,97,108
117,114,148
149,137,49
160,31,110
54,41,48
102,149,148
164,126,52
40,133,152
11,9,12
