r,g,b
101,44,47
139,68,22
4,42,108
123,132,137
145,101,100
17,57,124
13,80,7
114,122,130
2,85,137
122,1,31
110,0,12
101,103,118
34,43,24
46,7,60
124,100,0
68,61,78
67,64,120
104,97,0
105,8,68
25,21,27
1,99,115
115,71,0
0,80,124
2,2,4
