r,g,b
115,58,59
146,75,29
10,46,109
133,134,137
151,105,100
28,61,124
20,84,13
124,123,130
12,89,136
130,3,33
117,0,19
109,105,115
43,47,26
51,9,60
131,103,0
75,63,74
73,67,120
111,101,0
112,10,67
29,21,27
16,102,113
122,75,1
2,83,123
3,3,5
