r,g,b
94,34,37
138,70,22
2,45,115
118,134,141
142,102,102
12,57,127
8,81,9
108,123,133
0,84,139
119,1,29
105,0,9
93,102,119
30,43,23
43,5,60
118,98,0
62,58,77
63,65,123
98,96,0
98,6,69
21,19,26
0,100,117
109,69,0
1,77,122
2,3,4
