r,g,b
133,52,52
168,93,4
10,55,124
155,149,148
168,126,118
19,79,141
53,107,34
152,143,143
24,116,146
167,5,49
157,3,34
146,130,132
75,74,33
88,20,82
163,134,10
124,93,96
126,109,141
153,136,38
162,32,100
58,38,42
110,145,140
167,124,37
56,130,145
12,9,10
