r,g,b
114,51,49
149,72,25
12,43,100
137,130,130
154,101,91
28,56,114
27,81,4
128,120,121
14,83,129
134,1,30
119,0,17
115,102,106
44,45,22
52,6,54
134,101,0
80,60,66
76,63,111
115,98,0
114,8,61
30,20,23
24,98,107
125,73,0
9,79,116
3,3,3
