r_org,g_org,b_org,r_cct,g_cct,b_cct,CCT
55,215,34,33,75,2,3500
55,215,34,53,107,34,3750
55,215,34,27,81,4,4000
55,215,34,46,110,40,4250
55,215,34,20,84,13,4500
55,215,34,36,113,47,4750
55,215,34,13,80,7,5000
55,215,34,21,111,47,5250
55,215,34,8,81,9,5500
