r_org,g_org,b_org,r_cct,g_cct,b_cct,CCT
51,0,234,24,76,117,3500
51,0,234,24,116,146,3750
51,0,234,14,83,129,4000
51,0,234,15,121,151,4250
51,0,234,12,89,136,4500
51,0,234,7,124,155,4750
51,0,234,2,85,137,5000
51,0,234,0,123,157,5250
51,0,234,0,84,139,5500
