r_org,g_org,b_org,r_cct,g_cct,b_cct,CCT
41,51,26,121,0,14,3500
41,51,26,157,3,34,3750
41,51,26,119,0,17,4000
41,51,26,154,3,36,4250
41,51,26,117,0,19,4500
41,51,26,150,4,38,4750
41,51,26,110,0,12,5000
41,51,26,143,3,37,5250
41,51,26,105,0,9,5500
