r_org,g_org,b_org,r_cct,g_cct,b_cct,CCT
72,12,67,126,68,0,3500
72,12,67,167,124,37,3750
72,12,67,125,73,0,4000
72,12,67,164,126,52,4250
72,12,67,122,75,1,4500
72,12,67,162,126,53,4750
72,12,67,115,71,0,5000
72,12,67,157,120,23,5250
72,12,67,109,69,0,5500
