r_org,g_org,b_org,r_cct,g_cct,b_cct,CCT
72,228,59,117,93,0,3500
72,228,59,153,136,38,3750
72,228,59,115,98,0,4000
72,228,59,149,137,49,4250
72,228,59,111,101,0,4500
72,228,59,145,138,51,4750
72,228,59,104,97,0,5000
72,228,59,140,136,41,5250
72,228,59,98,96,0,5500
