r_org,g_org,b_org,r_cct,g_cct,b_cct,CCT
43,239,22,45,41,16,3500
43,239,22,75,74,33,3750
43,239,22,44,45,22,4000
43,239,22,73,78,41,4250
43,239,22,43,47,26,4500
43,239,22,68,79,46,4750
43,239,22,34,43,24,5000
43,239,22,59,77,44,5250
43,239,22,30,43,23,5500
