r_org,g_org,b_org,r_cct,g_cct,b_cct,CCT
66,13,17,154,97,79,3500
66,13,17,168,126,118,3750
66,13,17,154,101,91,4000
66,13,17,167,128,125,4250
66,13,17,151,105,100,4500
66,13,17,165,129,129,4750
66,13,17,145,101,100,5000
66,13,17,162,127,129,5250
66,13,17,142,102,102,5500
