r_org,g_org,b_org,r_cct,g_cct,b_cct,CCT
81,252,79,135,97,0,3500
81,252,79,163,134,10,3750
81,252,79,134,101,0,4000
81,252,79,160,135,18,4250
81,252,79,131,103,0,4500
81,252,79,157,136,20,4750
81,252,79,124,100,0,5000
81,252,79,153,133,13,5250
81,252,79,118,98,0,5500
