r_org,g_org,b_org,r_cct,g_cct,b_cct,CCT
31,26,233,52,4,45,3500
31,26,233,88,20,82,3750
31,26,233,52,6,54,4000
31,26,233,83,23,92,4250
31,26,233,51,9,60,4500
31,26,233,80,25,97,4750
31,26,233,46,7,60,5000
31,26,233,73,22,99,5250
31,26,233,43,5,60,5500
