r_org,g_org,b_org,r_cct,g_cct,b_cct,CCT
52,43,15,134,0,24,3500
52,43,15,167,5,49,3750
52,43,15,134,1,30,4000
52,43,15,165,10,52,4250
52,43,15,130,3,33,4500
52,43,15,162,11,54,4750
52,43,15,122,1,31,5000
52,43,15,157,5,52,5250
52,43,15,119,1,29,5500
