r_org,g_org,b_org,r_cct,g_cct,b_cct,CCT
56,13,231,78,58,98,3500
56,13,231,126,109,141,3750
56,13,231,76,63,111,4000
56,13,231,117,114,148,4250
56,13,231,73,67,120,4500
56,13,231,110,116,152,4750
56,13,231,67,64,120,5000
56,13,231,103,118,155,5250
56,13,231,63,65,123,5500
