r_org,g_org,b_org,r_cct,g_cct,b_cct,CCT
62,28,58,150,67,21,3500
62,28,58,133,52,52,3750
62,28,58,114,51,49,4000
62,28,58,167,94,7,4250
62,28,58,146,75,29,4500
62,28,58,166,96,12,4750
62,28,58,139,68,22,5000
62,28,58,162,93,15,5250
62,28,58,138,70,22,5500
