Date Saved,25.11.2022 15:52:21
Title,I7-F8-T3500_48_6243K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],6243
⊿uv,-0.0070
Illuminance [lx],1360
Illuminance [fc],126
Target CCT [K],10000
LB Index [MK⁻¹],-60
LB Camera Filter,80D
LB Lighting Filter,L203 1/4 CTB, L218 1/8 CTB
CC Index,0.9G
CC Camera Filter,-----
CC Lighting Filter,-----
CRI Ra,92.5
CRI R1,91.7
CRI R2,96.4
CRI R3,91.0
CRI R4,89.7
CRI R5,93.6
CRI R6,93.9
CRI R7,94.8
CRI R8,89.3
CRI R9,72.3
CRI R10,94.9
CRI R11,87.5
CRI R12,86.2
CRI R13,92.8
CRI R14,94.3
CRI R15,87.9

