Date Saved,25.11.2022 15:52:12
Title,I7-F8-T3500_46_5575K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],5575
⊿uv,-0.0083
Illuminance [lx],1270
Illuminance [fc],118
Target CCT [K],10000
LB Index [MK⁻¹],-79
LB Camera Filter,80D, 82A
LB Lighting Filter,L202 1/2 CTB
CC Index,1.0G
CC Camera Filter,CC025G
CC Lighting Filter,-----
CRI Ra,91.9
CRI R1,90.5
CRI R2,95.6
CRI R3,91.7
CRI R4,88.7
CRI R5,92.2
CRI R6,93.8
CRI R7,94.7
CRI R8,88.1
CRI R9,69.5
CRI R10,94.0
CRI R11,86.4
CRI R12,88.6
CRI R13,91.6
CRI R14,94.5
CRI R15,86.3

