Date Saved,25.11.2022 15:51:58
Title,I7-F8-T3500_44_4989K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],4989
⊿uv,-0.0094
Illuminance [lx],1330
Illuminance [fc],123
Target CCT [K],10000
LB Index [MK⁻¹],-100
LB Camera Filter,80C, 82
LB Lighting Filter,L202 1/2 CTB, L218 1/8 CTB
CC Index,1.0G
CC Camera Filter,CC025G
CC Lighting Filter,-----
CRI Ra,92.6
CRI R1,90.8
CRI R2,95.7
CRI R3,93.0
CRI R4,90.7
CRI R5,92.6
CRI R6,94.2
CRI R7,96.0
CRI R8,88.1
CRI R9,69.2
CRI R10,94.1
CRI R11,88.3
CRI R12,85.5
CRI R13,91.7
CRI R14,95.2
CRI R15,86.5

