Date Saved,25.11.2022 15:52:17
Title,I7-F8-T3500_47_5987K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],5987
⊿uv,-0.0082
Illuminance [lx],2250
Illuminance [fc],209
Target CCT [K],10000
LB Index [MK⁻¹],-67
LB Camera Filter,80D, 82
LB Lighting Filter,L203 1/4 CTB, L218 1/8 CTB
CC Index,1.0G
CC Camera Filter,CC025G
CC Lighting Filter,-----
CRI Ra,91.6
CRI R1,90.3
CRI R2,95.7
CRI R3,91.7
CRI R4,88.3
CRI R5,92.0
CRI R6,93.6
CRI R7,94.4
CRI R8,87.1
CRI R9,66.0
CRI R10,93.8
CRI R11,85.6
CRI R12,87.7
CRI R13,91.5
CRI R14,94.6
CRI R15,85.9

