Date Saved,25.11.2022 15:50:28
Title,I7-F8-T3500_41_4107K

Measuring Mode,Ambient
Digital / Film,Digital
CCT [K],4107
⊿uv,-0.0102
Illuminance [lx],2260
Illuminance [fc],210
Target CCT [K],10000
LB Index [MK⁻¹],-144
LB Camera Filter,80B, 82B
LB Lighting Filter,L201 FULL CTB
CC Index,1.0G
CC Camera Filter,CC025G
CC Lighting Filter,-----
CRI Ra,92.4
CRI R1,90.5
CRI R2,95.1
CRI R3,94.7
CRI R4,89.5
CRI R5,91.4
CRI R6,93.6
CRI R7,96.0
CRI R8,88.2
CRI R9,71.0
CRI R10,92.0
CRI R11,86.6
CRI R12,89.7
CRI R13,91.2
CRI R14,96.1
CRI R15,86.8

